st_name,value,st_num,property_id,zip_code
LEXINGTON,145200,265,0100153002,02128
LEXINGTON,215700,265,0100153004,02128
LEXINGTON,223500,265,0100153006,02128
LEXINGTON,288600,265,0100153008,02128
LEXINGTON ,169300,267,0100154002,02128
LEXINGTON ,234600,267,0100154004,02128
LEXINGTON ,243800,267,0100154006,02128
LEXINGTON ,257700,267,0100154008,02128
LEXINGTON,248900,269,0100155002,02128
LEXINGTON ,300500,269,0100155004,02128
LEXINGTON,298800,269,0100155006,02128
LEXINGTON,716200,271,0100156000,02128
LEXINGTON,574900,273,0100157000,02128
LEXINGTON,687000,275,0100158000,02128
SHELBY,1127000,9,0100178000,02128
LEXINGTON,567500,279,0100159000,02128
LEXINGTON,564100,281,0100160000,02128
LEXINGTON,550200,283,0100161000,02128
LEXINGTON,536700,285,0100162000,02128
LEXINGTON,338000,287,0100163000,02128
LEXINGTON,325700,289,0100164000,02128
LEXINGTON,467500,291,0100165000,02128
LEXINGTON,592300,293,0100166000,02128
LEXINGTON,616300,295,0100167000,02128
LEXINGTON,651500,297,0100168000,02128
LEXINGTON,759600,299,0100169000,02128
LEXINGTON,610300,301,0100170000,02128
SARATOGA,802600,746,0100684000,02128
SARATOGA,22400,   ,0100685000,02128
SARATOGA,337300,742,0100686000,02128
SARATOGA,712600,740,0100687000,02128
SARATOGA,790000,736,0100688000,02128
SARATOGA,672000,730,0100689000,02128
SARATOGA,451100,728,0100690000,02128
SARATOGA,503900,726,0100691000,02128
SARATOGA,551300,724,0100692000,02128
SARATOGA,741000,722,0100693000,02128
SARATOGA,434200,718 720,0100694000,02128
SARATOGA,493100,714 716,0100694001,02128
MOORE,438200,39,0100695000,02128
MOORE,583900,35,0100696000,02128
MOORE,565900,31,0100697000,02128
MOORE,631800,27,0100698000,02128
MOORE,764000,25,0100699000,02128
MOORE,472200,21,0100700000,02128
MOORE,437000,19,0100701000,02128
MOORE,31700,   ,0100702000,02128
MOORE,321800,15,0100703000,02128
PRINCETON,374300,284,0100194004,02128
MOORE,548500,5,0100704000,02128
MOORE,300800,3,0100705000,02128
MOORE,332200,1,0100706000,02128
WM F MCCLELLAN,414500,119,0100707000,02128
WM F MCCLELLAN,342100,121,0100708000,02128
BYRON,385100,45,0100709000,02128
BYRON,581600,49,0100710000,02128
BYRON,303000,53,0100711000,02128
BYRON,322100,55,0100712000,02128
BYRON,308900,57,0100713000,02128
BYRON,233300,59,0100714000,02128
BYRON,358400,61,0100715000,02128
BYRON,605600,63,0100716000,02128
BYRON,864200,67,0100717000,02128
BYRON,338600,71 75,0100718000,02128
BYRON,673700,77,0100719000,02128
BYRON,553100,79,0100720000,02128
BYRON,493100,81,0100721000,02128
BYRON,309900,83,0100722000,02128
BYRON,495800,85,0100723000,02128
BYRON,339400,87,0100724000,02128
BYRON,504500,89,0100725000,02128
BYRON,539500,93 95,0100726000,02128
BYRON,365700,97,0100727000,02128
MOORE,1323000,   ,0100728000,02128
MOORE,475900,30,0100729000,02128
MOORE,16700,   ,0100730000,02128
MOORE,572500,36,0100731000,02128
MOORE,491800,38,0100732000,02128
MOORE,464500,42,0100733000,02128
SARATOGA,503600,708 708A,0100735000,02128
SARATOGA,247700,704,0100736000,02128
SARATOGA,263000,702,0100737000,02128
PRINCETON,311000,324,0100179000,02128
LEXINGTON,378600,303,0100171000,02128
LEXINGTON,278800,305 R,0100172000,02128
LEXINGTON,665300,307,0100173000,02128
LEXINGTON,708800,309,0100174000,02128
LEXINGTON,475100,311,0100175000,02128
LEXINGTON,538200,313,0100176000,02128
SHELBY,407100,5,0100177002,02128
SHELBY,400600,5,0100177004,02128
SHELBY,421600,5,0100177006,02128
SHELBY,1127000,9,0100178000,02128
VIENNA,45000,17,0100408000,02128
PRINCETON,515000,322,0100179001,02128
PRINCETON,13600,   ,0100179002,02128
PRINCETON,562000,320,0100180000,02128
PRINCETON,490100,318,0100181002,02128
PRINCETON,432600,318,0100181004,02128
PRINCETON ,460300,318,0100181006,02128
PRINCETON,656400,316,0100182000,02128
PRINCETON,575800,314,0100183000,02128
PRINCETON,583800,312,0100184000,02128
PRINCETON,586900,310,0100185000,02128
PRINCETON,375000,302,0100186002,02128
PRINCETON,375000,302,0100186004,02128
PRINCETON,431700,300,0100187000,02128
PRINCETON,340400,298,0100188000,02128
PRINCETON,446900,296,0100189000,02128
PRINCETON,295500,294,0100190000,02128
PRINCETON,317400,292,0100191000,02128
PRINCETON,589600,288 R288,0100192000,02128
PRINCETON,510600,286,0100193000,02128
PRINCETON,492800,284,0100194002,02128
PRINCETON,470700,278,0100195010,02128
PRINCETON,329400,278 R,0100195020,02128
PRINCETON,347400,276,0100196002,02128
PRINCETON,350900,276,0100196004,02128
PRINCETON,368000,276,0100196006,02128
PRINCETON,623400,274,0100197000,02128
PRINCETON,600300,272,0100198000,02128
